3 Months Ended,3 Months Ended,9 Months Ended,9 Months Ended
"Sep. 30, 2017","Sep. 30, 2016","Sep. 30, 2017","Sep. 30, 2016"
1007687.0,728238.0,2830789.0,2099019.0
-763117.0,-620259.0,-2165374.0,-1793254.0
244570.0,107979.0,665415.0,305765.0
,,,
2663.0,1933.0,7209.0,9156.0
11801.0,24724.0,35779.0,51105.0
511206.0,403826.0,1442065.0,1286468.0
525670.0,430483.0,1485053.0,1346729.0
-281100.0,-322504.0,-819638.0,-1040964.0
,,,
0.0,0.0,72890.0,0.0
-135533.0,-123254.0,-236059.0,-336015.0
-135533.0,-123254.0,-163169.0,-336015.0
-416633.0,-445758.0,-982807.0,-1376979.0
0.0,0.0,0.0,-114229.0
-416633.0,-445758.0,-982807.0,-1491208.0
0.0,0.0,-0.01,-0.01
128011069.0,126348026.0,127571469.0,126231238.0
